凌寒	Ling Han
神隐术	Divine Concealment Spell
隐身术	Invisibility Spell
仙府	immortal abode
百花	Centaurea
药师	Apothecary
天帝	Celestial Thearch
太初	Grand Primordium
仙人	Immortal
安林	An Lin
喧嚣	Commotion
凶煞	Demonic, Fiendish
蒙	bewildered
懵逼	stupefied
目瞪口呆	dumbstruck, stunned, stupefied
圣洁无暇	holy and flawless
天籁	beautiful and heavenly, sounds of nature
天旋地转	rush of dizziness,(feel as is) the sky and earth are spinning
窝囊	vexed, annoyed, irritated, hopelessly stupid
仙风道骨	demeanour of a transcendent being
仙家气象	divine atmosphere
小伙子	young lad
宏大壮阔	grand and magnificent
彩云	Iridescent clouds
道袍	Daoist robes
太初大陆	Tai Chu Continent
天冥道体质	Tian Ming Physique
仙人	Immortal
仙女	Fairy
修仙	Cultivate
修仙联合大学	The United University of Cultivation
战神系统	God of War System
天冥道体质	Tian Ming Dao Physique
龙傲天	Long Aotian （i.e. Mary Sue）
酸爽	refreshing (sarcasm), indescribable emotion
残忍	cruel
铁棒	staff, iron club
忍不住	couldn't help but, uncontrollably
颤抖	shake, shiver, tremble
卧槽	holy f*ck
目瞪口呆	dumbstruck
咆哮	roar, scream, howl
恐惧	fear
禁不住	uncontrolled
壮汉	brawny man
发呆	dazed
诡异	abnormal
绝望	despair
就在这时	right at this moment
光团	ball of light
光球	ball of light
包裹	enveloped, shrouded
无比	unparalleled, extremely, insanely
生死交替	wavering between life and death
晕眩	dizziness
不争气	meekly, disappointing, fall short of expectations
缥缈	faintly discernible
慈爱	kindly, benevolent
涌上心头	rushed into their mind
浮现	appeared in
磕头	kowtow
施法	spell casting, perform sorcery
愣	startled, dumbfounded
失误	blunder, mistake, accident
锅	misfortune, calamity
委屈	wronged, grievances
忍受	endure
一把鼻涕一把泪	tears streaming down one's face
同情	sympathy
相逢即是有缘	to meet is fate
绝佳	exceptional, outstanding
资质	aptitude
阔绰	generous, ostentatious
热泪盈眶	tears in one's eyes
老者	elder (man)
至极	extremely
迫不及待	impatiently
一丝丝	hints of
起誓	swear, vow, make an oath
发誓	swear, vow, make an oath
不离不弃	never leave or abandon
来不及	no time to
符合	fulfill
融合	fuse
激动	moved, touched
峰回路转	turn of events
开挂系统	Hack System
开挂	add-on (games), hack
滚蛋	f*ck off
关切	concerned, considerate, worried
失态	let emotions get the better of oneself, lose control, misbehave
不堪回首	cannot bear to look back on
往事	past events
加油	make an extra effort
语重心长	meaningful and heartfelt, sincere and earnest
举荐函	letter of recommendation
欣慰	gratified, relieved
轻抚	lightly stroke, caress
同情	sympathy
腾云驾雾	ride away on the mists and clouds, ride the clouds and fly on the mist, feel giddy (or dizzy), feel as if one is floating
畅快	carefree, free from inhibitions and happy
肆	reckless, wanton, unrestrained, unbridled
感激	grateful, thankful, indebted, appreciate
挠了挠头	scratch one's head
惊疑不定	surprised and bewildered, uncertain
界面	interface
缓冲	cushion, buffer
传送	teleport
抱怨	complain, grumble
永生难忘	unforgettable
牌匾	plaque
玄妙	mysterious
看不到尽头	no end in sight
翱翔	soar, hover
仙家气象	divine atmosphere
灵兽	Spirit Beast
震惊	shock, amaze, astonish
仙境	Immortal realm
初来乍到	have just come, newcomer
彻底	completely, utterly, thorougly
猜想	guess, suspicion, speculation
掉眼泪	shed tears
关系户	Backdoor entrant
见状	seeing this
神色	expression, look
片刻	a short while, an instant, a moment
宿主	host
分贝	decibel
什么鬼	what the hell
意义	sense, meaning, importance, significance
不已	endlessly, incessantly
任何	any, whatever, whichever, whatsoever
屈辱	humiliation, mortification
低声	under one's breath, softly
载入	record
神仙	daoist immortal
奇怪	strange, odd, baffled
眼神	expression or emotion in one's eyes, meaningful glance, wink
渐渐	gradually
神经病	crazy, mental
受不了	unbearable, unable to endure, can't stand
豁	give up, sacrifice, stake all
实在	really, actually, indeed, truly, honestly
惊疑	surprised, bewildered
吓了一跳	startled
果然	as expected, sure enough
苦笑	force a smile, smile wryly, bitter laugh
反应	react, respond
本能	instinct
奇特	peculiar, unusual, strange
惊讶	surprised, astonished, amazed, astounded
高人	superior, supreme person
领地	territory, domain, estate
哇塞	wow
广阔	vast, wide, broad
话说	anyhow, speaking of which, that said, it is said
真神	True God
迷人	enchanting, bewitching, fascinating, charming, tempting
许小兰	Xu Xiaolan
石龙州	Stone Dragon State
受宠若惊	overwhelmed by an unexpected favour, feel extremely flattered
承办	organised, sponsored
九州界	Kingdom of the Nine States
向往	yearning, look forward to
惊奇	surprised, amazed, wonder
仙家	divine abode
拉风	trendy, eye-catching, flashy
驾驭	to drive, steer, handle, manage, master, tame
灵器	Spirit Tool
飞剑	flying sword
空间戒指	interspatial ring
储物法宝	storage treasure
符	talisman, seal
玉简	jade slip
刀	saber
阵	formations
精	essence
精血	blood essence
阁	pavilion
亭	pavilion
塔	pagoda
不料	unexpectedly, to one's surprise
怒目而视	glare, glower, stare angrily, look daggers at
不敢	not dare to
汇聚	flock, converge, come together
广场	plaza, public sqaure
足足	no less than, fully, as much as, extremely
围观	watch, look on
光芒	rays of light, brilliant rays, radiance
不时	from time to time, frequently, occasionally
道之体	Dao Body
段	Stage
厉害	impressive, ferocious, difficult to deal with, tremendous, awesome, devastating, severe
涌动	surge, swarm
黑线	(face) darkened
既视感	deja vu
修为	cultivation base
届	cohort
粗暴	rough, cruel, crude, brutal, rude
方便	make things convenient, to facilitate
因材施教	teach in line with a student's ability
仙剑	immortal sword
耀眼	dazzling
清雅	elegant, refined
朴素	modest, plain and simple
羡慕	admire, envy
万众瞩目	attention of a multitude of people
万众瞩目	widespread attention
淡然	tranquil and calm, indifferent
法力	magical powers
淡淡	faint, dim, dull, insipid, unenthusiastic, indifferent
竟然	unexpectedly, actually, to one's surprise, in spite of everything, to go as far as to
沸腾	seethe with excitment, to flare up
族	clan
议论纷纷	discuss spiritedly, all sorts of comment, widespread comment
妈蛋	shit, damn
灼灼的目光	intense attention
忐忑	uneasy, fidgety, restless
骑虎难下	irrevocably but unwillingly committed, in a dilemma
淡定	calm and collected
牛批	awesome, capable, arrogant, cocky
闪耀	glint, glitter, sparkle, shine, radiate
一阵	burst, fit, a spell (of time)
颤动	vibrate, quiver, tremble
紧张	nervous, tense, strained, scarce
期待	look forward to, await, expect
呆	blank, slow-witted, dull, foolish, stupid, expressionless
怀疑	doubt, skeptical, suspicion, suspect
一时	temporarily, momentary, a while
失落	sense of loss, disappointment, frustrated
空气突然的安静	everything suddenly turned quiet
踉跄	stagger, stumble
不可思议	inconceivable, unimaginable, unfathomable, disbelief
莫名	indescribable
反驳	refute, rebut, retort
知道	aware, know, realize
嘴角一抽	wince, grimace
安慰	comfort, console
忧郁	melancholy, heavyhearted, dejected, sullen, depressed
待见	like, be fond of
住所	dwelling, residence
真心	wholeheartedly, heartfelt, sincere
惊叹	exclaim in admiration, marvel at, wonder at, a gasp of surprise
不愧	be worth of, deserve to be called, to prove oneself to be
九州	Kingdom of the Nine States
福利	benefit, welfare
应有尽有	have everything one could wish for
别想了	forget about it
挺符	conform to, in accordance with, agree with, in line with
描绘	depicted
美滋滋	very happy, elated
分配	allocation, distribution, assign
划分	divide, partition
区域	district, region, area
俗话说	as the proverb says
善良	good and honest, kindhearted
热情	warm, enthusiastic, passionate
毫不介意	not mind at all
废柴	loser, good-for-nothing, trash
伙伴	companion, comrade, partner
哼	hmph, groan, snort, hum
注定	destined, bound to
霸修	dominate
刮目相看	loom with new eyes, treat with increased respect
豪气	heroic spirit, pride
仙帝	Immortal God
自信满满	self confidence, conviction, firm belief
自信	self confidence, conviction, firm belief
逆天	defiance of the natural order
境界	state, realm, boundary, level
功法	cultivation method, exercise
特殊任务	Special Missions
功法	Cultivation Methods
招式	Moves
显示	display, demonstrate, show
无奈	helpless, grudging, resignation, reluctant
达成条件	conditions	达成
不可置信	unbelievable, disbelief, incredible
任务	task, mission, assignment, duty, role
将信将疑	half believing, half doubting, skeptical
紧接着	immediately afterwards
剧痛	acute pain, severe pain, sharp pain
气	Qi, vital energy
感受	sense, perceive, feel, experience, impression
游荡	loiter, wander, roam
飘荡	drift, float, wave, flutter
气	spiritual energy
天地间	between heaven and earth
美妙	splendid, wonderful, beautiful, mesmerising
按捺	restrain, control, suppress, contain
悸动	pound, throb, palpitate from nervousness
查看	look over, examine, check up
麻蛋	shit, damn
趋势	trend, tendency
修仙联合学院	The United University of Cultivation
霸气	domineering, arrogant, intimidating, rude, unreasonable, agressive
猥琐	uncouth, wretched, vulgar
大汗淋漓	sweating profusely, drenched in sweat, dripping with sweat
猛地	suddenly, abruptly
无敌	invincible, unequalled, without rival
查看	examine, look over, check up
发现	discovered, find, detect, identify
外挂	cheat software, hack
气死	infuriate, drive crazy
巅峰	peak, pinnacle, summit, apex
乐呵呵	buoyant, happy, giddy
愣	stunned
半晌	a while, a long time
嗯	m-hm, uh-huh
拼了命	with all one's might, at all costs, as if one's life depends on it
拼命	with all one's migwith all one's might, at all costs, as if one's life depends on itht, at all costs, as if one's life depends on it
呆滞	dull, lifeless, idle
傻	dumfounded, stunned, foolish, silly, stupid, imbecile
信仰	faith, conviction, belief
万念俱灰	completely disheartened, abandon oneself in despair, become totally disillusioned, despondent
察觉	sense, become aware, to perceive, to detect
吓懵	scared sh*tless
靠	rely, trust, depend on
说不定	can't say for sure, maybe
哀叹	sigh, lament, bewail, bemoan
怀着	harbour
婀娜	graceful, elegant, lithe
显然	obvious, evident, clear
不好意思	embarrased, apologetic
矜持	reserved, solemn, aloof
主动	take initiative, willing, active
不由自主	couldn't help, involuntarily
错失良机	let slip a golden opportunity
没想	didn't expect
错愕	stunned, dumbfounded, astonished, startled
心旷神怡	relaxed and joyful, carefree and happy, untroubled, at ease
举止	poise, manner
优雅	elegant, graceful
樱	delicate, ruby-lipped
凝重	dignified, grave, imposing, heavy
气氛	atmosphere, mood
瓶颈	bottleneck, major obstacle
示意	motion, indicate, signal, hint
认真	earnest, serious
诚挚	sincere, cordial
勉强	with difficulty, reluctant
纳戒	storage ring
吐纳	expiration (cultivation)
灯火通明	ablaze with lights, brightly lit, lit up
